```csv
"Parameter(s)","Result","Q","Units","Reporting Limit","Dilution","Prep Date","Prep Batch","Analysis Date","Analysis Batch"
"Dry Weight Determination (ASTM D 2974-87)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Trace Elements by ICP/MS (EPA 0200.2-M/EPA 6020A)","23000"," ","Hg/kg","500","10","08/02/12","PT12HO2C","08/02/12","T212HO2A"
"UST - Used Motor Oils - Volatiles, 5035 (EPA 5035/EPA 8260B)","7400"," ","g/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","Vi12HO1A,"
"4,","5600"," ","g/kg","200","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"6","7000"," ","yg/kg","50","1.0","08/01/12","VI12HO1A,","08/01/12","VI42HO1A"
"&","7100"," ","g/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"10,","8000"," ","g/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"12","6700"," ","Ha/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"14.","7500"," ","yg/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"16.","7200"," ","ug/kg","50","1.0","08/01/12","Vi12HO1A,","08/01/12","VIV2HO1A"
"18","7500"," ","yg/kg","50","1.0","08/01/12","Vi12HO1A,","08/01/12","VI42HO1A"
"20.","7800"," ","ug/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VIA2HO1A"
"22","6900"," ","g/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VIA2HO1A"
"24","7100"," ","g/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"26.","7500"," ","g/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
```

