"Parameter(s)","Result","Q","Units","Reporting Limit","Dilution","Prep Date","Prep Batch","Analysis Date","Analysis Batch"
"Dry Weight Determination (ASTM D 2974-87)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Trace Elements by ICP/MS (EPA 0200.2-M/EPA 6020A)","3100"," ","ug/kg","500","10","08/02/12","PT12HO2C","08/02/12","T212HO2A"
"UST - Used Motor Oils - Volatiles, 5035 (EPA 5035/EPA 8260B)","U"," ","yg/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"4.","U"," ","yg/kg","200","1.0","08/01/12","VI42HO1A","08/01/12","VI42HO1A"
"6","U"," ","ug/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"8","U"," ","yg/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"10.","U"," ","ua/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A."
"12","U"," ","ho/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A."
"14.","U"," ","g/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A,"
"16.","U"," ","yg/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"18","U"," ","g/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI42HO1A"
"20.","U"," ","yg/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI42HO1A"
"22","U"," ","yg/kg","50","1.0","08/01/12","VI12HO1A,","08/01/12","VI42HO1A."
"24,","U"," ","g/kg","100","1.0","08/01/12","VI12HO1A,","08/01/12","VI12HO1A"
"26.","U"," ","Ha/kg","100","1.0","08/01/12","Vi12HO1A","08/01/12","VI12HO1A"
```


