```csv
"Parameter(s)","Result","Q","Units","Reporting Limit","Dilution","Prep Date","Prep Batch","Analysis Date","Analysis Batch"
"Dry Weight Determination (ASTM D 2974-87)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Trace Elements by ICP/MS (EPA 0200.2-M/EPA 6020A)","5900"," ","g/kg","500","20","08/08/12","PT12HO8F","08/08/12","T212HO8A"
"UST - Used Motor Oils - Volatiles, 5035 (EPA 5035/EPA 8260B)","U"," ","g/kg","100","1.0","08/06/12","Vi12HO6B","08/06/12","Vi12HO6B"
"4.","U"," ","yg/kg","200","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"6","U"," ","yg/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"8","U"," ","g/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B."
"10,","U"," ","g/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B."
"12.","U"," ","Hg/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B."
"14.","U"," ","yg/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"16.","U"," ","g/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"18","U"," ","pg/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"20.","U"," ","g/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"22","U"," ","g/kg","50","1.0","08/06/12","Vi12HO6B","08/06/12","VI12HO6B"
"24,","U"," ","g/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"26.","U"," ","pg/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
```





