"Parameter(s)","Result","Q","Units","Reporting Limit","Dilution","Prep Date","Prep Batch","Analysis Date","Analysis Batch"
"Dry Weight Determination (ASTM D 2974-87)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Trace Elements by ICP/MS (EPA 0200.2-M/EPA 6020A)","22000"," ","yg/kg","500","10","08/02/12","PT12HO2C","08/02/12","T212HO2A"
"UST - Used Motor Oils - Volatiles, 5035 (EPA 5035/EPA 8260B)","6100"," ","ug/kg","100","1.0","08/01/12","VI12HO1A,","08/01/12","Vi12HO1A"
"404/","08/01/12"," ","\nVI12HO1A","31","Bal k 0"," "," "," "," "
"4","4500"," ","ug/kg","200","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"6","5700"," ","ug/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"08/01/12.","42"," ","\nVI12HO1A"," "," "," "," "," "," "
"&","5700"," ","ug/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"10.","6500"," ","g/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A,"
"12.","5600"," ","g/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"14.","6000"," ","ug/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A"
"16.","5700"," ","g/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A,"
"18","5900"," ","g/kg","50","1.0","08/01/12","VI12HO1A,","08/01/12","VI12HO1A"
"20.","6400"," ","g/kg","50","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A,"
"yg/kg","50","1.0","08/01/12","VI12HO1A.","08/01/12","VI12HO1A,"," "," "," "," "
"g"," "," "," "," "," "," "," "," "," "
"22"," "," "," "," "," "," "," "," "," "
"24","5600"," ","ug/kg","100","1.0","08/01/12","VI12HO1A.","08/01/12","VI12HO1A"
"26.","6100"," ","ug/kg","100","1.0","08/01/12","VI12HO1A","08/01/12","VI12HO1A."
