```csv
"Parameter(s)","Result","Q","Units","Reporting Limit","Dilution","Prep Date","Prep Batch","Analysis Date","Analysis Batch"
"Dry Weight Determination (ASTM D 2974-87)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Trace Elements by ICP/MS (EPA 0200.2-M/EPA 6020A)","27000"," ","ug/kg","500","20","08/08/12","PT12HO8F","08/08/12","T212HO8A"
"UST - Used Motor Oils - Volatiles, 5035 (EPA 5035/EPA 8260B)","5800"," ","ug/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"4","3600"," ","yg/kg","200","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"6.","6100"," ","yg/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"8","5500"," ","ug/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"10.","7400"," ","ug/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"12","6300"," ","ug/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI42HO6B"
"14.","6100"," ","yg/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"16.","5900"," ","ug/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"18.","6100"," ","g/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI42HO6B"
"20.","6000"," ","g/kg","50","1.0","08/06/12","Vi12HO6B","08/06/12","Vi12HO6B"
"22","5400"," ","g/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"24.","6500"," ","g/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"26.","7100"," ","ug/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
```





